Duration
Group 0 activities' duration:
Visual inspection-M       p-value: 0.001     avg:7.727s     std: 5.011
Visual assessment-AA      p-value: 0.002     avg:7.231s     std: 6.002
Verbal assessment-AA      p-value: 0.003     avg:7.800s     std: 6.321
Palpation-F               p-value: 0.005     avg:10.000s    std: 8.749
Visual inspection-N       p-value: 0.006     avg:4.571s     std: 3.849
Rectal-BK                 p-value: 0.012     avg:6.714s     std: 5.147
Left pupil-PU             p-value: 0.045     avg:4.615s     std: 3.732
R visual inspection-EY    p-value: 0.055     avg:5.167s     std: 4.525
L visual inspection-EY    p-value: 0.071     avg:5.143s     std: 4.642
Visual inspection-F       p-value: 0.072     avg:8.323s     std: 7.605
Palpation-H               p-value: 0.093     avg:6.964s     std: 4.917
Visual inspection-BK      p-value: 0.135     avg:11.263s    std: 8.123
L-spine-BK                p-value: 0.194     avg:2.700s     std: 2.076
Visual inspection-H       p-value: 0.203     avg:7.321s     std: 6.159
Visual inspection-NE      p-value: 0.208     avg:8.000s     std: 7.285
T-spine-BK                p-value: 0.213     avg:3.667s     std: 2.794
Palpation-NE              p-value: 0.222     avg:7.385s     std: 6.440
Right pupil-PU            p-value: 0.231     avg:4.214s     std: 2.623
L DP/PT-PC                p-value: 0.292     avg:7.556s     std: 3.919
Stability-PE              p-value: 0.301     avg:2.727s     std: 1.483
Palpation-RLE             p-value: 0.377     avg:5.679s     std: 6.959
Palpation-LUE             p-value: 0.465     avg:6.438s     std: 4.911
Palpation-C               p-value: 0.467     avg:5.619s     std: 5.464
C-spine-BK                p-value: 0.468     avg:9.600s     std: 7.736
Palpation-RUE             p-value: 0.514     avg:6.765s     std: 5.297
R otoscopy-EAR            p-value: 0.539     avg:8.500s     std: 4.822
Log roll-BK               p-value: 0.539     avg:36.308s    std: 16.340
Palpation-LLE             p-value: 0.602     avg:5.455s     std: 5.061
Visual inspection-LUE     p-value: 0.609     avg:6.857s     std: 5.514
Total Verbalized-GCS      p-value: 0.626     avg:2.000s     std: 1.225
Visual inspection-RUE     p-value: 0.688     avg:7.200s     std: 5.049
Palpation-A               p-value: 0.759     avg:7.429s     std: 6.500
Chest Auscultation-BA     p-value: 0.772     avg:14.091s    std: 8.284
R DP/PT-PC                p-value: 0.865     avg:5.545s     std: 2.808
Visual inspection-G       p-value: 0.873     avg:3.200s     std: 1.939
L Visual inspection-EAR   p-value: 0.887     avg:8.000s     std: 6.000
Visual inspection-A       p-value: 0.904     avg:7.308s     std: 7.010
R Visual inspection-EAR   p-value: 0.918     avg:7.000s     std: 2.915
L otoscopy-EAR            p-value: 0.948     avg:6.600s     std: 5.142
Visual inspection-LLE     p-value: 0.957     avg:6.381s     std: 5.367
Visual inspection-C       p-value: 0.963     avg:6.571s     std: 6.389
Visual inspection-RLE     p-value: 0.983     avg:6.828s     std: 8.196

